Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Trastorno esquizotípico,Déficit en el procesamiento de la información,Comportamiento motor desorganizado,Paranoia intensa,Deterioro de la memoria,Anhedonia - intereses sexuales,Pensamientos intrusivos,Anergia física,Abulia - higiene,Sudoración,Ideas delirantes
Trastorno esquizoafectivo,Abulia - higiene,Hipervigilancia,Deterioro de la atención,Alogia - bloqueos del pensamiento,Déficit en el procesamiento de la información,Deterioro de la memoria,Sentimiento de culpa,Obsesiones de presencia,Anhedonia - intereses recreativos,Hipoexpresividad emocional
Trastorno bipolar con síntomas psicóticos,Dificultad de concentración,Pensamientos intrusivos,Comportamiento motor desorganizado,Anhedonia - relaciones con la familia,Anhedonia - intereses recreativos,Hipervigilancia,Comportamiento social inadecuado,Preocupación,Contacto visual bajo,Alogia - pobreza de contenido
Esquizofrenia,Alogia,Hipoexpresividad emocional,Sueño o fatiga,Afectividad inapropiada,Temblores,Dificultad de concentración,Déficit en el procesamiento de la información,Contacto visual bajo,Comportamiento motor desorganizado,Ideas delirantes
Trastorno esquizoafectivo,Anhedonia - relaciones con amigos,Pensamientos intrusivos,Anhedonia - sociabilidad,Lenguaje desorganizado,Disnea,Dificultades en teoría de la mente,Catatonía,Deterioro de la atención,Contacto visual bajo,Gesticulación reducida
Esquizofrenia,Preocupación,Anhedonia - relaciones con la familia,Afectividad inapropiada,Anhedonia - sociabilidad,Alogia - pobreza del habla,Paranoia intensa,Comportamiento motor desorganizado,Sueño o fatiga,Disnea,Anhedonia - relaciones con amigos
Trastorno bipolar con síntomas psicóticos,Afectividad inapropiada,Dificultad de concentración,Sueño o fatiga,Eco del pensamiento,Alucinaciones,Deterioro de la atención,Catatonía,Desorganización del pensamiento,Comportamiento social inadecuado,Contacto visual bajo
Trastorno esquizotípico,Obsesiones de presencia,Deterioro de la memoria,Catatonía,Hipoexpresividad emocional,Sudoración,Anhedonia - intereses sexuales,Comportamiento social inadecuado,Anhedonia,Abulia - trabajo o estudio,Control del pensamiento
Esquizofrenia,Disnea,Eco del pensamiento,Alogia,Cambios en el apetito,Gesticulación reducida,Anhedonia - intereses recreativos,Control del pensamiento,Catatonía,Abulia,Deterioro de la memoria
Trastorno esquizotípico,Expresión facial reducida,Nerviosismo,Preocupación,Temblores,Alogia,Alucinaciones,Anhedonia - relaciones con amigos,Anhedonia - intereses recreativos,Hipervigilancia,Sudoración
Trastorno esquizotípico,Sueño o fatiga,Abulia,Abulia - trabajo o estudio,Cambios en el apetito,Anhedonia - sociabilidad,Deterioro de la atención,Taquicardia,Gesticulación reducida,Pensamientos intrusivos,Afectividad inapropiada
Depresión mayor con síntomas psicóticos,Hipervigilancia,Abulia,Irritabilidad,Afectividad inapropiada,Disnea,Abulia - higiene,Anhedonia,Contacto visual bajo,Alogia - pobreza de contenido,Comportamiento social inadecuado
Trastorno bipolar con síntomas psicóticos,Nerviosismo,Paranoia intensa,Deterioro de la atención,Desorganización del pensamiento,Hipervigilancia,Anhedonia - intereses recreativos,Sueño o fatiga,Comportamiento motor desorganizado,Déficit en el procesamiento de la información,Ideas suicidas
Trastorno esquizotípico,Alogia,Preocupación,Cambios en el apetito,Catatonía,Pensamientos intrusivos,Alogia - pobreza de contenido,Ideas delirantes,Sentimiento de culpa,Sueño o fatiga,Abulia - higiene
Esquizofrenia,Sentimiento de culpa,Disminución del libido,Anhedonia - intereses recreativos,Expresión facial reducida,Nerviosismo,Anhedonia - relaciones con la familia,Déficit en el procesamiento de la información,Afectividad inapropiada,Anhedonia - intereses sexuales,Hipervigilancia
Trastorno esquizotípico,Nerviosismo,Alogia - pobreza de contenido,Anhedonia - relaciones con la familia,Lenguaje desorganizado,Taquicardia,Comportamiento social inadecuado,Contacto visual bajo,Abulia - higiene,Tristeza,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Hipervigilancia,Taquicardia,Irritabilidad,Anergia física,Anhedonia - sociabilidad,Desorganización del pensamiento,Anhedonia - relaciones con amigos,Sudoración,Control del pensamiento,Paranoia intensa
Trastorno esquizotípico,Taquicardia,Dificultad de concentración,Alucinaciones,Dificultades en teoría de la mente,Control del pensamiento,Tristeza,Eco del pensamiento,Ideas delirantes,Hipervigilancia,Abulia - higiene
Trastorno esquizoafectivo,Hipervigilancia,Ideas delirantes,Desorganización del pensamiento,Alogia - pobreza del habla,Deterioro de la memoria,Preocupación,Anhedonia - intereses sexuales,Anhedonia - intereses recreativos,Cambios en el apetito,Anergia física
Trastorno esquizoafectivo,Comportamiento motor desorganizado,Sentimiento de culpa,Anhedonia - relaciones con amigos,Anhedonia - intereses recreativos,Eco del pensamiento,Abulia - higiene,Temblores,Deterioro de la memoria,Anhedonia - sociabilidad,Abulia - trabajo o estudio
Trastorno esquizotípico,Taquicardia,Cambios en el apetito,Abulia - higiene,Anhedonia,Ideas delirantes,Anhedonia - intereses sexuales,Lenguaje desorganizado,Déficit en el procesamiento de la información,Eco del pensamiento,Paranoia intensa
Trastorno esquizotípico,Catatonía,Alucinaciones,Deterioro de la atención,Dificultad de concentración,Alogia - pobreza del habla,Tristeza,Abulia - trabajo o estudio,Ideas suicidas,Sudoración,Disminución del libido
Trastorno bipolar con síntomas psicóticos,Obsesiones de presencia,Sueño o fatiga,Dificultad de concentración,Sudoración,Alogia,Pensamientos intrusivos,Eco del pensamiento,Anhedonia - intereses sexuales,Anhedonia - relaciones con la familia,Alogia - bloqueos del pensamiento
Trastorno delirante,Anhedonia - intereses recreativos,Disnea,Dificultades en teoría de la mente,Nerviosismo,Anhedonia - relaciones con la familia,Afectividad inapropiada,Anhedonia - intereses sexuales,Temblores,Cambios en el apetito,Déficit en el procesamiento de la información
Trastorno delirante,Alogia,Alucinaciones,Paranoia intensa,Taquicardia,Ideas delirantes,Irritabilidad,Sueño o fatiga,Anhedonia - intereses recreativos,Ideas suicidas,Abulia
Trastorno esquizotípico,Obsesiones de presencia,Eco del pensamiento,Temblores,Alogia,Alogia - bloqueos del pensamiento,Anhedonia - intereses sexuales,Anhedonia - relaciones con la familia,Lenguaje desorganizado,Contacto visual bajo,Pensamientos intrusivos
Esquizofrenia,Disnea,Eco del pensamiento,Anhedonia - relaciones con la familia,Preocupación,Déficit en el procesamiento de la información,Sentimiento de culpa,Hipervigilancia,Alogia,Anhedonia,Catatonía
Trastorno delirante,Eco del pensamiento,Lenguaje desorganizado,Control del pensamiento,Nerviosismo,Anhedonia - relaciones con la familia,Abulia - higiene,Sueño o fatiga,Abulia,Anergia física,Alogia - bloqueos del pensamiento
Trastorno esquizotípico,Cambios en el apetito,Obsesiones de presencia,Comportamiento motor desorganizado,Anhedonia - relaciones con la familia,Control del pensamiento,Tristeza,Desorganización del pensamiento,Comportamiento social inadecuado,Alogia - pobreza del habla,Disminución del libido
Trastorno delirante,Sueño o fatiga,Afectividad inapropiada,Ideas delirantes,Disminución del libido,Eco del pensamiento,Taquicardia,Anhedonia - intereses recreativos,Catatonía,Paranoia intensa,Alucinaciones
Trastorno esquizotípico,Sueño o fatiga,Anhedonia - intereses sexuales,Alogia - pobreza del habla,Cambios en el apetito,Anhedonia - relaciones con la familia,Deterioro de la atención,Gesticulación reducida,Eco del pensamiento,Taquicardia,Control del pensamiento
Trastorno esquizotípico,Temblores,Sudoración,Dificultades en teoría de la mente,Paranoia intensa,Alucinaciones,Anhedonia - intereses recreativos,Anergia física,Abulia,Tristeza,Deterioro de la atención
Depresión mayor con síntomas psicóticos,Deterioro de la memoria,Obsesiones de presencia,Anhedonia,Afectividad inapropiada,Déficit en el procesamiento de la información,Ideas delirantes,Lenguaje desorganizado,Alogia - pobreza de contenido,Abulia,Catatonía
Trastorno delirante,Lenguaje desorganizado,Control del pensamiento,Hipoexpresividad emocional,Abulia,Comportamiento social inadecuado,Abulia - trabajo o estudio,Anhedonia - sociabilidad,Alogia - pobreza del habla,Hipervigilancia,Comportamiento motor desorganizado
Trastorno esquizotípico,Cambios en el apetito,Expresión facial reducida,Temblores,Dificultades en teoría de la mente,Lenguaje desorganizado,Anhedonia - intereses recreativos,Anergia física,Sueño o fatiga,Hipervigilancia,Gesticulación reducida
Trastorno esquizoafectivo,Anhedonia - sociabilidad,Comportamiento social inadecuado,Anhedonia - relaciones con la familia,Anhedonia - intereses sexuales,Deterioro de la memoria,Abulia - higiene,Lenguaje desorganizado,Pensamientos intrusivos,Tristeza,Comportamiento motor desorganizado
Depresión mayor con síntomas psicóticos,Abulia,Dificultades en teoría de la mente,Control del pensamiento,Sentimiento de culpa,Expresión facial reducida,Tristeza,Preocupación,Desorganización del pensamiento,Ideas delirantes,Anhedonia - sociabilidad
Trastorno esquizotípico,Comportamiento social inadecuado,Alogia - pobreza de contenido,Lenguaje desorganizado,Afectividad inapropiada,Disminución del libido,Desorganización del pensamiento,Alucinaciones,Tristeza,Anhedonia - relaciones con la familia,Eco del pensamiento
Trastorno delirante,Abulia - higiene,Temblores,Anhedonia - intereses sexuales,Disnea,Sentimiento de culpa,Abulia - trabajo o estudio,Gesticulación reducida,Alogia - pobreza de contenido,Anhedonia - intereses recreativos,Anhedonia - relaciones con la familia
Depresión mayor con síntomas psicóticos,Ideas delirantes,Paranoia intensa,Pensamientos intrusivos,Alucinaciones,Anhedonia - relaciones con la familia,Hipervigilancia,Anhedonia - intereses sexuales,Temblores,Sentimiento de culpa,Abulia
Esquizofrenia,Cambios en el apetito,Nerviosismo,Alucinaciones,Control del pensamiento,Comportamiento social inadecuado,Sudoración,Pensamientos intrusivos,Alogia,Obsesiones de presencia,Anhedonia - relaciones con amigos
Trastorno esquizoafectivo,Anhedonia - relaciones con amigos,Tristeza,Dificultades en teoría de la mente,Taquicardia,Dificultad de concentración,Afectividad inapropiada,Alogia - bloqueos del pensamiento,Alogia - pobreza de contenido,Disnea,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Paranoia intensa,Deterioro de la atención,Anhedonia - sociabilidad,Déficit en el procesamiento de la información,Temblores,Abulia - higiene,Desorganización del pensamiento,Taquicardia,Sudoración,Anergia física
Trastorno bipolar con síntomas psicóticos,Ideas delirantes,Sueño o fatiga,Disminución del libido,Sudoración,Disnea,Dificultades en teoría de la mente,Control del pensamiento,Cambios en el apetito,Nerviosismo,Sentimiento de culpa
Esquizofrenia,Nerviosismo,Comportamiento motor desorganizado,Abulia - trabajo o estudio,Control del pensamiento,Alogia - bloqueos del pensamiento,Hipoexpresividad emocional,Sueño o fatiga,Déficit en el procesamiento de la información,Disminución del libido,Preocupación
Depresión mayor con síntomas psicóticos,Comportamiento motor desorganizado,Pensamientos intrusivos,Anhedonia - relaciones con amigos,Alogia - pobreza de contenido,Temblores,Deterioro de la memoria,Tristeza,Abulia,Disminución del libido,Deterioro de la atención
Depresión mayor con síntomas psicóticos,Pensamientos intrusivos,Eco del pensamiento,Paranoia intensa,Sudoración,Deterioro de la atención,Comportamiento motor desorganizado,Anhedonia - relaciones con la familia,Desorganización del pensamiento,Anhedonia - relaciones con amigos,Cambios en el apetito
Depresión mayor con síntomas psicóticos,Déficit en el procesamiento de la información,Alogia - pobreza del habla,Anergia física,Abulia,Afectividad inapropiada,Comportamiento motor desorganizado,Sudoración,Contacto visual bajo,Deterioro de la atención,Sueño o fatiga
Trastorno bipolar con síntomas psicóticos,Alogia - pobreza del habla,Expresión facial reducida,Anhedonia - relaciones con amigos,Alogia - pobreza de contenido,Disnea,Disminución del libido,Sueño o fatiga,Sudoración,Temblores,Anhedonia
Depresión mayor con síntomas psicóticos,Desorganización del pensamiento,Anergia física,Abulia - trabajo o estudio,Irritabilidad,Ideas delirantes,Comportamiento motor desorganizado,Anhedonia - intereses sexuales,Deterioro de la atención,Catatonía,Alogia - pobreza de contenido
Trastorno bipolar con síntomas psicóticos,Tristeza,Anhedonia - sociabilidad,Abulia - higiene,Preocupación,Ideas suicidas,Disnea,Temblores,Ideas delirantes,Abulia,Nerviosismo
Trastorno esquizoafectivo,Dificultad de concentración,Abulia - trabajo o estudio,Nerviosismo,Deterioro de la memoria,Sentimiento de culpa,Dificultades en teoría de la mente,Deterioro de la atención,Sueño o fatiga,Sudoración,Eco del pensamiento
Trastorno delirante,Cambios en el apetito,Control del pensamiento,Abulia,Alogia - pobreza del habla,Hipervigilancia,Anhedonia - relaciones con la familia,Alogia - pobreza de contenido,Anhedonia - sociabilidad,Alogia,Deterioro de la atención
Esquizofrenia,Catatonía,Alogia - pobreza del habla,Nerviosismo,Disminución del libido,Gesticulación reducida,Taquicardia,Alogia - pobreza de contenido,Pensamientos intrusivos,Deterioro de la atención,Ideas delirantes
Depresión mayor con síntomas psicóticos,Alogia - bloqueos del pensamiento,Abulia - trabajo o estudio,Comportamiento social inadecuado,Temblores,Déficit en el procesamiento de la información,Catatonía,Obsesiones de presencia,Ideas delirantes,Anergia física,Contacto visual bajo
Depresión mayor con síntomas psicóticos,Ideas suicidas,Anergia física,Desorganización del pensamiento,Alogia - bloqueos del pensamiento,Paranoia intensa,Contacto visual bajo,Abulia - higiene,Sudoración,Alogia - pobreza de contenido,Lenguaje desorganizado
Trastorno esquizoafectivo,Alucinaciones,Anhedonia - intereses sexuales,Comportamiento social inadecuado,Dificultades en teoría de la mente,Alogia - bloqueos del pensamiento,Alogia,Dificultad de concentración,Contacto visual bajo,Déficit en el procesamiento de la información,Sudoración
Esquizofrenia,Abulia - higiene,Abulia,Taquicardia,Pensamientos intrusivos,Comportamiento social inadecuado,Alogia - bloqueos del pensamiento,Disminución del libido,Anhedonia - sociabilidad,Hipervigilancia,Irritabilidad
Depresión mayor con síntomas psicóticos,Preocupación,Eco del pensamiento,Abulia,Lenguaje desorganizado,Hipoexpresividad emocional,Tristeza,Irritabilidad,Alogia - bloqueos del pensamiento,Paranoia intensa,Dificultad de concentración
Esquizofrenia,Taquicardia,Catatonía,Lenguaje desorganizado,Deterioro de la memoria,Disnea,Abulia - trabajo o estudio,Expresión facial reducida,Alogia - pobreza de contenido,Abulia,Deterioro de la atención
Esquizofrenia,Cambios en el apetito,Tristeza,Dificultades en teoría de la mente,Abulia - higiene,Comportamiento motor desorganizado,Irritabilidad,Afectividad inapropiada,Abulia - trabajo o estudio,Deterioro de la memoria,Anhedonia - relaciones con la familia
Trastorno delirante,Afectividad inapropiada,Ideas delirantes,Sueño o fatiga,Ideas suicidas,Paranoia intensa,Comportamiento social inadecuado,Nerviosismo,Taquicardia,Anergia física,Dificultades en teoría de la mente
Trastorno bipolar con síntomas psicóticos,Alogia - pobreza de contenido,Contacto visual bajo,Nerviosismo,Anergia física,Alogia - bloqueos del pensamiento,Sudoración,Dificultad de concentración,Déficit en el procesamiento de la información,Abulia,Temblores
Trastorno esquizotípico,Tristeza,Taquicardia,Alogia,Comportamiento motor desorganizado,Anhedonia,Hipervigilancia,Dificultades en teoría de la mente,Sentimiento de culpa,Sueño o fatiga,Abulia - higiene
Trastorno esquizotípico,Deterioro de la memoria,Afectividad inapropiada,Preocupación,Temblores,Hipoexpresividad emocional,Tristeza,Alogia - pobreza del habla,Obsesiones de presencia,Hipervigilancia,Anhedonia - relaciones con la familia
Esquizofrenia,Sentimiento de culpa,Anhedonia - intereses sexuales,Abulia - higiene,Hipervigilancia,Tristeza,Anhedonia - relaciones con amigos,Alogia - pobreza del habla,Obsesiones de presencia,Preocupación,Expresión facial reducida
Trastorno bipolar con síntomas psicóticos,Hipervigilancia,Irritabilidad,Deterioro de la atención,Dificultades en teoría de la mente,Sudoración,Déficit en el procesamiento de la información,Eco del pensamiento,Alogia - pobreza del habla,Abulia,Anhedonia - intereses recreativos
Trastorno esquizoafectivo,Irritabilidad,Anhedonia - sociabilidad,Comportamiento social inadecuado,Anhedonia - intereses recreativos,Déficit en el procesamiento de la información,Comportamiento motor desorganizado,Paranoia intensa,Anhedonia - relaciones con amigos,Hipoexpresividad emocional,Temblores
Trastorno esquizotípico,Tristeza,Comportamiento social inadecuado,Abulia,Contacto visual bajo,Cambios en el apetito,Hipervigilancia,Gesticulación reducida,Anhedonia - relaciones con amigos,Desorganización del pensamiento,Comportamiento motor desorganizado
Trastorno esquizotípico,Comportamiento social inadecuado,Preocupación,Gesticulación reducida,Alogia - pobreza de contenido,Nerviosismo,Abulia,Alogia - pobreza del habla,Anergia física,Comportamiento motor desorganizado,Paranoia intensa
Trastorno delirante,Expresión facial reducida,Paranoia intensa,Anhedonia - sociabilidad,Desorganización del pensamiento,Ideas suicidas,Alogia,Afectividad inapropiada,Comportamiento social inadecuado,Anhedonia - relaciones con amigos,Hipoexpresividad emocional
Trastorno delirante,Nerviosismo,Catatonía,Alogia,Dificultad de concentración,Taquicardia,Lenguaje desorganizado,Expresión facial reducida,Ideas delirantes,Contacto visual bajo,Anhedonia - intereses sexuales
Trastorno esquizotípico,Paranoia intensa,Pensamientos intrusivos,Irritabilidad,Ideas suicidas,Eco del pensamiento,Déficit en el procesamiento de la información,Anhedonia - sociabilidad,Hipoexpresividad emocional,Anergia física,Comportamiento social inadecuado
Trastorno esquizotípico,Sudoración,Desorganización del pensamiento,Irritabilidad,Sentimiento de culpa,Pensamientos intrusivos,Expresión facial reducida,Hipervigilancia,Anergia física,Ideas delirantes,Déficit en el procesamiento de la información
Trastorno esquizoafectivo,Deterioro de la atención,Temblores,Dificultad de concentración,Anergia física,Control del pensamiento,Obsesiones de presencia,Catatonía,Nerviosismo,Abulia,Sudoración
Trastorno bipolar con síntomas psicóticos,Hipoexpresividad emocional,Irritabilidad,Disnea,Abulia - trabajo o estudio,Deterioro de la atención,Preocupación,Comportamiento social inadecuado,Déficit en el procesamiento de la información,Obsesiones de presencia,Cambios en el apetito
Trastorno esquizoafectivo,Ideas delirantes,Dificultad de concentración,Alogia,Anergia física,Temblores,Disnea,Contacto visual bajo,Comportamiento motor desorganizado,Alogia - pobreza del habla,Preocupación
Esquizofrenia,Alogia - pobreza de contenido,Disminución del libido,Afectividad inapropiada,Alogia - pobreza del habla,Alogia,Pensamientos intrusivos,Dificultad de concentración,Abulia - higiene,Sentimiento de culpa,Cambios en el apetito
Esquizofrenia,Obsesiones de presencia,Sudoración,Abulia - higiene,Paranoia intensa,Hipoexpresividad emocional,Desorganización del pensamiento,Alogia - pobreza de contenido,Anhedonia - relaciones con la familia,Abulia - trabajo o estudio,Comportamiento social inadecuado
Trastorno delirante,Nerviosismo,Anhedonia - intereses sexuales,Abulia,Dificultades en teoría de la mente,Lenguaje desorganizado,Tristeza,Disminución del libido,Afectividad inapropiada,Deterioro de la memoria,Déficit en el procesamiento de la información
Trastorno bipolar con síntomas psicóticos,Alogia - pobreza del habla,Eco del pensamiento,Alucinaciones,Lenguaje desorganizado,Abulia - higiene,Obsesiones de presencia,Abulia,Anhedonia - relaciones con la familia,Taquicardia,Disminución del libido
Trastorno esquizotípico,Desorganización del pensamiento,Sentimiento de culpa,Lenguaje desorganizado,Paranoia intensa,Disminución del libido,Comportamiento motor desorganizado,Gesticulación reducida,Expresión facial reducida,Sueño o fatiga,Nerviosismo
Trastorno esquizotípico,Anhedonia - sociabilidad,Desorganización del pensamiento,Alogia - pobreza de contenido,Sentimiento de culpa,Abulia - higiene,Dificultad de concentración,Deterioro de la atención,Hipervigilancia,Alogia - bloqueos del pensamiento,Alogia - pobreza del habla
Esquizofrenia,Ideas delirantes,Dificultad de concentración,Alogia - pobreza del habla,Taquicardia,Disnea,Obsesiones de presencia,Irritabilidad,Paranoia intensa,Contacto visual bajo,Déficit en el procesamiento de la información
Trastorno bipolar con síntomas psicóticos,Contacto visual bajo,Anhedonia - sociabilidad,Deterioro de la atención,Disnea,Comportamiento social inadecuado,Alucinaciones,Expresión facial reducida,Anergia física,Hipoexpresividad emocional,Paranoia intensa
Trastorno esquizoafectivo,Anhedonia - relaciones con amigos,Tristeza,Control del pensamiento,Anhedonia - intereses recreativos,Comportamiento motor desorganizado,Alucinaciones,Ideas suicidas,Catatonía,Déficit en el procesamiento de la información,Lenguaje desorganizado
Trastorno bipolar con síntomas psicóticos,Nerviosismo,Dificultades en teoría de la mente,Catatonía,Anhedonia - relaciones con la familia,Déficit en el procesamiento de la información,Alucinaciones,Abulia - higiene,Desorganización del pensamiento,Anergia física,Sueño o fatiga
Depresión mayor con síntomas psicóticos,Deterioro de la atención,Sudoración,Ideas suicidas,Temblores,Catatonía,Nerviosismo,Anhedonia - relaciones con amigos,Afectividad inapropiada,Sueño o fatiga,Deterioro de la memoria
Trastorno delirante,Anhedonia - relaciones con la familia,Desorganización del pensamiento,Tristeza,Alucinaciones,Alogia - bloqueos del pensamiento,Eco del pensamiento,Disminución del libido,Dificultades en teoría de la mente,Alogia - pobreza de contenido,Gesticulación reducida
Trastorno bipolar con síntomas psicóticos,Cambios en el apetito,Catatonía,Pensamientos intrusivos,Obsesiones de presencia,Irritabilidad,Anhedonia - sociabilidad,Sudoración,Contacto visual bajo,Ideas delirantes,Lenguaje desorganizado
Trastorno delirante,Irritabilidad,Catatonía,Déficit en el procesamiento de la información,Alogia - pobreza del habla,Cambios en el apetito,Disminución del libido,Control del pensamiento,Comportamiento social inadecuado,Taquicardia,Abulia
Esquizofrenia,Anhedonia - relaciones con amigos,Abulia,Hipoexpresividad emocional,Expresión facial reducida,Disminución del libido,Irritabilidad,Control del pensamiento,Comportamiento motor desorganizado,Sudoración,Deterioro de la memoria
Trastorno esquizoafectivo,Anergia física,Abulia - higiene,Anhedonia,Obsesiones de presencia,Alogia - pobreza del habla,Deterioro de la memoria,Expresión facial reducida,Dificultades en teoría de la mente,Preocupación,Afectividad inapropiada
Trastorno bipolar con síntomas psicóticos,Contacto visual bajo,Catatonía,Abulia - trabajo o estudio,Abulia - higiene,Obsesiones de presencia,Anhedonia - intereses recreativos,Dificultades en teoría de la mente,Taquicardia,Pensamientos intrusivos,Preocupación
Trastorno esquizotípico,Preocupación,Catatonía,Anhedonia - relaciones con amigos,Comportamiento motor desorganizado,Deterioro de la atención,Alogia - pobreza de contenido,Pensamientos intrusivos,Tristeza,Control del pensamiento,Anhedonia - sociabilidad
Trastorno bipolar con síntomas psicóticos,Deterioro de la atención,Afectividad inapropiada,Comportamiento motor desorganizado,Irritabilidad,Ideas suicidas,Gesticulación reducida,Disminución del libido,Alogia - pobreza del habla,Sentimiento de culpa,Nerviosismo
Depresión mayor con síntomas psicóticos,Pensamientos intrusivos,Sueño o fatiga,Irritabilidad,Obsesiones de presencia,Taquicardia,Ideas suicidas,Contacto visual bajo,Alucinaciones,Disnea,Nerviosismo
Trastorno delirante,Gesticulación reducida,Irritabilidad,Anhedonia - intereses sexuales,Temblores,Catatonía,Disnea,Comportamiento social inadecuado,Anergia física,Hipoexpresividad emocional,Ideas delirantes
Depresión mayor con síntomas psicóticos,Lenguaje desorganizado,Anhedonia - intereses recreativos,Catatonía,Anhedonia,Irritabilidad,Ideas delirantes,Contacto visual bajo,Comportamiento motor desorganizado,Expresión facial reducida,Ideas suicidas
Trastorno esquizoafectivo,Anhedonia - sociabilidad,Ideas suicidas,Contacto visual bajo,Sentimiento de culpa,Desorganización del pensamiento,Irritabilidad,Control del pensamiento,Alogia - pobreza del habla,Deterioro de la memoria,Eco del pensamiento
Trastorno esquizoafectivo,Sudoración,Anhedonia - intereses recreativos,Expresión facial reducida,Disnea,Disminución del libido,Nerviosismo,Anergia física,Anhedonia,Ideas delirantes,Catatonía
Depresión mayor con síntomas psicóticos,Contacto visual bajo,Abulia,Cambios en el apetito,Alogia,Alucinaciones,Taquicardia,Ideas delirantes,Nerviosismo,Anhedonia,Sueño o fatiga
Trastorno delirante,Anergia física,Nerviosismo,Hipervigilancia,Déficit en el procesamiento de la información,Eco del pensamiento,Catatonía,Disnea,Abulia - higiene,Hipoexpresividad emocional,Tristeza
Esquizofrenia,Abulia - trabajo o estudio,Contacto visual bajo,Deterioro de la atención,Desorganización del pensamiento,Alogia - bloqueos del pensamiento,Anhedonia - intereses sexuales,Eco del pensamiento,Disnea,Comportamiento motor desorganizado,Taquicardia
Trastorno delirante,Ideas suicidas,Anhedonia - relaciones con la familia,Comportamiento social inadecuado,Irritabilidad,Comportamiento motor desorganizado,Anhedonia - sociabilidad,Tristeza,Alucinaciones,Disnea,Paranoia intensa
Trastorno esquizotípico,Pensamientos intrusivos,Temblores,Obsesiones de presencia,Comportamiento social inadecuado,Alucinaciones,Deterioro de la memoria,Hipervigilancia,Ideas suicidas,Déficit en el procesamiento de la información,Comportamiento motor desorganizado
Trastorno bipolar con síntomas psicóticos,Disnea,Gesticulación reducida,Taquicardia,Desorganización del pensamiento,Catatonía,Comportamiento social inadecuado,Irritabilidad,Sudoración,Anhedonia - relaciones con la familia,Nerviosismo
Esquizofrenia,Comportamiento social inadecuado,Abulia,Obsesiones de presencia,Comportamiento motor desorganizado,Anhedonia - intereses sexuales,Abulia - higiene,Taquicardia,Eco del pensamiento,Anhedonia - relaciones con la familia,Catatonía
Trastorno bipolar con síntomas psicóticos,Deterioro de la memoria,Preocupación,Eco del pensamiento,Alogia,Abulia,Temblores,Anhedonia - relaciones con la familia,Comportamiento motor desorganizado,Tristeza,Abulia - trabajo o estudio
